鄉鎮市區,交易標的,土地移轉總面積平方公尺,交易年月日,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-隔間,有無管理組織,總價元,車位類別,電梯
15,3,12.97,1111231,35,15,1,7,7,1121108.0,135.39,2.0,有,0,12500000,5,1
15,3,8.92,1100714,13,15,1,7,7,1121108.0,94.0,0.0,有,0,6680000,6,1
15,2,92.49,1110114,10,23,4,7,7,1120616.0,234.84,5.0,有,0,18100000,0,2
15,2,7.74,1121130,13,9,1,2,7,840729.0,70.22,2.0,有,0,4300000,0,1
6,2,5.75,1121128,40,17,1,7,5,1041105.0,78.6,2.0,有,0,7080000,0,1
6,1,,1121202,31,27,3,2,7,790820.0,61.73,2.0,有,0,2280000,0,1
6,3,20.29,1121202,44,7,1,7,5,1120411.0,115.89,2.0,有,0,13380000,5,1
2,2,53.59,1121021,10,12,4,2,2,580823.0,88.48,5.0,有,1,9000000,0,2
6,2,7.44,1121203,38,17,1,7,5,1041105.0,103.37,2.0,有,0,8880000,0,1
6,2,48.0,1121114,10,12,4,1,2,631224.0,58.2,3.0,有,1,6600000,0,2
6,2,90.1,1121125,10,22,4,1,7,831202.0,209.47,4.0,有,1,17800000,0,2
6,1,,1121104,10,12,4,2,7,681017.0,106.26,4.0,有,1,4390000,0,2
6,2,44.93,1121205,10,29,4,0,1,,,4.0,有,1,2800000,0,0
2,2,5.71,1121113,31,25,3,4,7,790615.0,26.94,1.0,有,0,1820000,0,1
6,2,69.0,1121103,10,23,4,1,7,741219.0,271.39,4.0,有,1,6800000,0,2
15,3,18.09,1121020,35,25,3,2,7,840630.0,113.92,3.0,有,0,7380000,5,1
2,2,37.3,1121116,10,12,4,2,5,570210.0,56.67,3.0,有,1,6800000,0,2
2,2,30.95,1121022,11,24,2,2,7,740809.0,102.62,3.0,有,1,9250000,0,2
6,2,335.0,1121206,10,1,4,2,4,490000.0,119.53,5.0,有,1,25000000,0,2
2,2,9.81,1121118,46,26,3,2,7,810611.0,68.49,3.0,有,0,4350000,0,1
15,3,10.26,1120909,42,15,1,2,7,840516.0,148.64,3.0,有,0,7800000,5,1
15,3,80.22,1121129,10,23,4,7,7,870113.0,215.04,4.0,有,1,10680000,5,2
15,3,55.83,1121204,39,13,1,7,5,1040903.0,395.27,3.0,有,0,39200000,5,1
2,2,6.52,1121027,35,25,3,2,7,790917.0,35.11,1.0,有,0,2000000,0,1
15,2,16.73,1121128,13,27,3,2,7,830603.0,107.94,3.0,有,0,6800000,0,1
6,2,14.99,1121119,20,6,1,7,7,990406.0,80.37,2.0,有,0,8500000,0,1
15,2,5.37,1121209,36,9,1,2,7,840729.0,48.0,1.0,有,0,2400000,0,1
6,3,15.21,1121202,21,17,1,7,5,1090131.0,164.53,3.0,有,0,19500000,5,1
6,2,90.0,1121208,10,12,4,2,2,700123.0,106.5,3.0,有,1,5880000,0,2
15,2,99.8,1121214,10,24,4,7,7,990513.0,255.13,7.0,有,1,27900000,0,2
6,2,13.3,1121215,10,24,2,2,7,730724.0,48.15,2.0,有,1,3000000,0,2
15,3,23.17,1121115,14,26,3,2,7,840711.0,129.3,2.0,有,0,6600000,6,1
15,3,8.13,1121128,35,3,1,2,7,830512.0,94.31,2.0,有,0,6300000,5,1
6,2,10.67,1121215,20,4,1,2,7,850905.0,115.05,3.0,有,0,6000000,0,1
2,2,242.97,1121205,10,23,4,7,6,671004.0,677.94,5.0,有,1,45000000,0,2
15,3,14.28,1121212,40,5,1,7,7,880113.0,140.29,3.0,有,0,8500000,5,1
2,2,6.06,1121118,46,4,1,4,7,711217.0,67.06,,無,0,3570000,0,1
6,0,191.38,1121206,10,29,0,0,1,,,,無,1,9580000,0,0
2,2,60.0,1121211,10,12,4,2,2,580203.0,90.02,4.0,有,1,6350000,0,2
6,2,45.03,1121206,10,5,1,7,7,920916.0,160.32,3.0,有,0,3740000,0,1
6,2,26.09,1121217,10,24,2,2,7,701223.0,73.99,2.0,有,1,3200000,0,2
6,3,31.41,1121121,10,28,3,2,7,841009.0,125.39,3.0,有,0,8950000,5,1
6,3,37.19,1120824,33,28,3,7,7,851009.0,149.34,3.0,有,0,8860000,5,1
6,1,,1121218,10,12,4,2,2,670119.0,142.12,3.0,有,1,2500000,0,2
6,2,52.0,1121202,10,23,2,2,7,701229.0,147.65,8.0,有,1,5850000,0,2
2,2,2.97,1121215,41,13,1,2,7,860127.0,38.01,1.0,有,0,2950000,0,1
6,3,38.99,1121205,46,24,2,2,7,850920.0,98.68,2.0,有,1,6000000,1,2
6,1,,1121125,40,5,1,2,7,831015.0,82.22,2.0,有,0,3680000,0,1
2,0,15.95,1121215,10,29,0,0,1,,,,無,1,500000,0,0
2,2,106.42,1120718,10,1,4,2,4,,45.51,2.0,有,1,15000000,0,2
2,2,62.01,1121125,10,29,4,0,1,,,,無,1,3600000,0,0
15,2,111.0,1121124,10,24,4,2,7,811217.0,269.96,5.0,有,1,13500000,0,2
15,2,2.39,1121110,36,5,1,2,7,831216.0,29.05,1.0,有,0,1750000,0,1
6,2,11.59,1121222,10,10,1,2,7,840912.0,78.7,2.0,有,0,5800000,0,1
6,1,,1121207,32,24,3,2,7,840906.0,32.22,1.0,有,1,1200000,0,1
15,3,8.13,1091127,27,21,1,7,7,1121017.0,103.78,,無,0,6720000,6,1
15,3,11.7,1100608,21,21,1,7,7,1121017.0,152.98,3.0,有,0,8370000,5,1
15,3,13.39,1070325,14,21,1,7,7,1121017.0,176.16,3.0,有,0,7900000,5,1
15,3,13.19,1070114,43,21,1,7,7,1121017.0,173.44,3.0,有,0,8650000,5,1
15,3,8.33,1100723,32,21,1,7,7,1121017.0,111.57,,無,0,4880000,5,1
15,3,13.19,1061210,42,21,1,7,7,1121017.0,173.44,3.0,有,0,8780000,5,1
15,3,6.69,1100528,39,21,1,7,7,1121017.0,86.3,,無,0,4400000,6,1
2,2,81.0,1121202,10,23,4,7,7,920515.0,218.53,4.0,有,1,18300000,0,2
2,2,4.97,1121222,14,26,3,2,7,790920.0,23.37,1.0,有,0,1200000,0,1
2,3,31.41,1121222,14,26,3,2,7,820428.0,162.14,3.0,有,0,9500000,5,1
15,0,138.0,1121029,10,29,0,0,1,,,,無,1,16700000,0,0
2,0,962.52,1121225,10,29,0,0,1,,,,無,1,38412680,0,0
15,2,84.0,1121202,10,23,4,1,7,820421.0,295.7,6.0,有,1,16800000,0,2
15,3,41.08,1121121,32,24,3,7,5,1110222.0,177.23,4.0,有,0,15500000,1,1
15,3,15.2,1121210,33,5,1,2,7,850919.0,2708.58,3.0,有,0,8320000,5,1
6,3,32.04,1121210,33,5,1,7,7,911227.0,142.38,3.0,有,0,9550000,5,1
15,2,86.05,1121226,10,24,4,7,5,950707.0,263.86,5.0,有,1,15000000,0,2
15,3,14.69,1121116,46,15,1,7,5,1101213.0,156.42,3.0,有,0,15400000,5,1
6,0,7.0,1121209,10,29,0,0,1,,,,無,1,303800,0,0
15,3,14.69,1121117,41,15,1,7,5,1101213.0,156.42,0.0,有,0,14800000,5,1
6,2,50.02,1121225,46,23,2,0,7,680319.0,94.29,3.0,有,1,5000000,0,2
15,2,75.0,1121123,10,22,4,2,7,810526.0,158.91,4.0,有,1,6000000,0,2
6,0,68.02,1121205,10,29,0,0,1,,,,無,1,5100000,0,0
6,3,20.29,1121217,41,7,1,7,5,1120411.0,115.18,2.0,有,0,12800000,5,1
6,2,28.95,1121218,10,24,2,2,7,710224.0,86.57,3.0,有,1,8600000,0,2
15,2,12.95,1121124,44,6,1,7,5,950822.0,102.42,2.0,有,0,7650000,0,1
6,2,6.63,1121121,46,26,3,4,7,750722.0,40.15,1.0,有,0,1810000,0,1
6,1,,1121219,10,0,2,4,8,640305.0,41.21,3.0,有,1,350000,0,2
6,2,106.33,1121210,10,12,4,2,7,880310.0,98.84,4.0,有,1,11150000,0,2
6,0,3.06,1120618,10,29,0,0,1,,,,無,1,150000,0,0
15,3,8.53,1121210,21,19,1,7,5,1060124.0,115.36,2.0,有,0,8250000,5,1
6,3,25.5,1121214,31,7,1,7,5,1120501.0,137.73,3.0,有,0,17750000,5,1
15,2,3.86,1121216,38,5,1,2,7,841024.0,44.31,1.0,有,0,3100000,0,1
2,2,37.54,1121212,32,26,3,2,7,741127.0,112.48,3.0,有,0,8350000,0,1
2,0,76.08,1121019,10,29,0,0,1,,,,無,1,6000043,0,0
6,3,11.49,1121213,41,17,1,7,5,1041105.0,159.7,3.0,有,0,12000000,5,1
6,2,131.0,1121103,10,23,4,2,5,1050923.0,302.43,5.0,有,1,20000000,0,2
2,2,96.26,1121107,10,12,4,2,2,620420.0,143.1,5.0,有,1,12500000,0,2
15,3,29.09,1121129,20,2,3,2,7,850822.0,219.94,5.0,有,0,12500000,5,1
15,2,178.0,1121125,10,22,4,2,7,781207.0,342.41,6.0,有,1,23000000,0,2
6,3,36.32,1121208,32,2,3,7,7,930330.0,163.26,3.0,有,0,9800000,5,1
6,3,10.66,1121215,23,18,1,2,7,840104.0,131.68,3.0,有,0,6600000,6,1
15,2,1.8,1121222,38,5,1,2,7,831216.0,21.38,1.0,有,0,1580000,0,1
6,2,104.0,1121130,10,23,4,7,5,1111230.0,255.76,5.0,有,1,39800000,0,2
6,2,102.66,1121115,10,12,4,2,7,771020.0,135.76,3.0,有,1,6950000,0,2
2,3,17.83,1121120,35,26,3,2,7,811123.0,124.28,3.0,有,0,8000000,5,1
2,2,90.73,1121216,10,22,4,7,5,560710.0,136.56,5.0,有,1,16600000,0,2
2,0,71.7,1121020,10,29,0,0,1,,,,無,1,3700000,0,0
2,3,13.0,1120701,36,11,1,7,5,1100727.0,149.89,3.0,有,0,13550000,5,1
6,2,79.25,1121213,10,23,4,2,5,1111117.0,190.47,4.0,有,1,25200000,0,2
2,2,5.61,1121226,46,25,3,2,7,830301.0,30.43,1.0,有,1,2500000,0,1
2,2,86.16,1120921,10,23,4,2,2,561120.0,300.48,5.0,有,1,19500000,0,2
2,0,40.97,1121221,10,29,0,0,1,,,,無,1,1740000,0,0
2,2,23.3,1121129,46,25,3,2,7,720210.0,116.17,3.0,有,0,4950000,0,1
6,2,13.0,1121120,10,12,4,1,2,580200.0,24.79,,無,1,710000,0,2
6,2,140.0,1121120,10,23,4,2,7,650210.0,415.05,8.0,有,1,17790000,0,2
2,2,128.51,1121119,10,23,4,7,5,1040818.0,324.13,5.0,有,1,39680000,0,2
15,3,17.5,1121213,46,6,1,7,7,880816.0,164.0,3.0,有,0,8100000,5,1
15,2,5.95,1090906,27,21,1,7,7,1121017.0,74.37,,無,0,4630000,0,1
15,3,6.69,1061114,46,21,1,7,7,1121017.0,86.47,,無,0,3950000,6,1
15,3,6.69,1060702,20,21,1,7,7,1121017.0,86.3,,無,0,4120000,6,1
15,3,8.93,1070610,45,21,1,7,7,1121017.0,117.33,,無,0,5600000,5,1
15,3,8.43,1061013,23,21,1,7,7,1121017.0,108.87,2.0,有,0,5150000,6,1
15,3,17.5,1100423,37,21,1,7,7,1121017.0,232.1,3.0,有,0,15180000,5,1
15,3,19.49,1100923,40,21,1,7,7,1121017.0,262.65,3.0,有,0,16880000,5,1
2,2,18.06,1130101,20,3,1,2,7,710831.0,899.0,4.0,有,0,10660000,0,1
6,2,78.84,1121031,10,22,4,2,7,830316.0,162.89,4.0,有,1,12100000,0,2
2,2,31.11,1121129,10,22,4,2,4,480000.0,79.54,4.0,有,1,9500000,0,2
2,0,32.13,1121114,10,29,0,0,1,,,,無,1,2281230,0,0
2,2,4.88,1121205,13,26,3,2,7,810611.0,32.24,1.0,有,0,2000000,0,1
6,2,18.45,1121230,46,26,3,2,7,740416.0,103.08,3.0,有,0,4500000,0,1
2,0,25.43,1121126,10,29,0,0,1,,,,無,1,10000000,0,0
6,3,10.66,1121123,25,18,1,2,7,840104.0,137.93,3.0,有,0,8100000,6,1
6,3,36.76,1110822,10,11,1,1,7,851202.0,346.89,3.0,有,0,26500000,6,1
15,2,7.37,1121216,44,20,1,7,5,1051109.0,86.31,2.0,有,0,6800000,0,1
6,2,82.92,1130102,10,12,4,2,7,770924.0,117.41,2.0,有,1,11000000,0,2
6,3,25.44,1121105,14,7,1,7,5,1120501.0,130.81,3.0,有,0,14680000,5,1
2,0,284.04,1121102,10,29,0,0,1,,,,無,1,36500000,0,0
6,1,,1121122,32,5,1,2,7,831015.0,107.02,2.0,有,0,4100000,5,1
15,2,62.0,1121123,10,22,4,1,7,680815.0,146.49,4.0,有,1,8500000,0,2
6,1,,1121115,20,5,1,2,7,831015.0,82.22,2.0,有,0,3500000,0,1
2,3,21.74,1121229,10,29,3,0,1,,,4.0,有,0,6000000,0,0
2,3,21.74,1130102,10,29,3,0,1,,,4.0,有,0,6000000,0,0
15,2,21.32,1130102,33,6,1,7,7,890822.0,114.54,3.0,有,0,5660000,0,1
6,3,28.21,1121206,38,6,1,7,7,920916.0,149.3,3.0,有,0,10400000,5,1
2,2,16.69,1121031,14,24,2,1,7,760616.0,69.3,2.0,有,1,3100000,0,2
6,3,8.92,1121116,32,6,1,7,7,971219.0,88.58,2.0,有,0,8850000,6,1
6,2,53.95,1121125,10,23,4,7,5,930223.0,189.96,5.0,有,1,12320000,0,2
15,3,10.28,1121101,38,17,1,2,7,840530.0,174.13,3.0,有,0,12800000,5,1
2,3,32.99,1121218,35,26,3,2,7,811123.0,224.7,5.0,有,0,11000000,5,1
2,2,71.75,1120905,10,23,4,2,2,591223.0,207.12,10.0,有,1,13080000,0,2
6,3,27.52,1121223,13,27,3,2,7,831013.0,135.66,3.0,有,0,8000000,1,1
6,2,65.0,1121117,10,22,4,0,7,690604.0,133.42,4.0,有,1,10500000,0,2
15,3,22.66,1121129,32,25,3,2,7,810727.0,125.66,3.0,有,1,6150000,3,1
2,0,12.3,1130105,10,29,0,0,1,,,,無,1,930000,0,0
2,2,8.71,1121208,35,25,3,2,7,790404.0,58.73,5.0,有,0,4560000,0,1
6,3,32.32,1121015,38,6,1,7,7,920916.0,169.23,3.0,有,0,11500000,5,1
15,2,5.81,1121212,46,17,1,2,7,861022.0,116.93,3.0,有,0,6100000,0,1
6,2,23.76,1121206,32,24,2,2,7,701017.0,88.92,3.0,有,1,4100000,0,2
6,3,11.49,1121222,42,17,1,7,5,1041105.0,159.7,3.0,有,0,12000000,5,1
6,2,113.11,1130104,10,23,4,7,5,930507.0,209.83,4.0,有,1,12000000,0,2
6,2,64.46,1121024,10,22,4,2,2,620405.0,140.93,4.0,有,1,6000000,0,2
6,2,5.75,1121226,43,17,1,7,5,1041105.0,78.6,2.0,有,0,6800000,0,1
6,2,5.75,1121209,42,17,1,7,5,1041105.0,78.6,2.0,有,0,6800000,0,1
15,0,230.78,1121226,10,29,0,0,1,,,,無,1,13850000,0,0
15,2,3.47,1121224,45,5,1,2,7,841024.0,40.09,1.0,有,0,2260000,0,1
2,2,123.04,1121111,10,12,4,2,7,720608.0,279.67,5.0,有,1,22000000,0,2
6,2,54.0,1130104,10,12,4,2,2,610718.0,69.51,3.0,有,1,5000000,0,2
6,2,13.69,1121216,33,6,1,2,7,870420.0,106.15,3.0,有,0,7250000,0,1
15,2,3.47,1121125,38,5,1,2,7,841024.0,39.86,1.0,有,0,2800000,0,1
2,0,34.09,1121229,10,29,0,0,1,,,,無,1,8867832,0,0
15,2,14.81,1121217,10,9,1,1,7,850907.0,166.55,2.0,有,0,11500000,0,1
15,2,14.81,1121217,10,9,1,1,7,850907.0,166.55,2.0,有,0,11500000,0,1
15,2,108.0,1120930,10,23,4,2,5,1000512.0,282.59,4.0,有,1,24000000,0,2
15,2,74.0,1121017,10,24,4,1,7,830702.0,207.04,10.0,有,1,16000000,0,2
15,2,6.14,1121106,46,14,1,4,7,831222.0,68.96,1.0,有,0,4600000,0,1
15,3,12.03,1121202,38,19,1,7,5,1060124.0,156.74,3.0,有,0,9800000,5,1
2,2,5.82,1130104,14,25,3,2,7,790917.0,31.42,1.0,有,0,2000000,0,1
2,2,5.9,1130104,14,25,3,2,7,790917.0,32.04,1.0,有,0,1730000,0,1
2,2,54.42,1121122,10,24,4,1,7,720121.0,275.64,7.0,有,1,26800000,0,2
6,2,87.76,1121123,10,22,4,2,7,830418.0,177.9,4.0,有,1,10360000,0,2
6,3,20.63,1121210,38,6,1,7,5,951001.0,137.29,3.0,有,0,11650000,6,1
15,0,161.0,1121230,10,29,0,0,1,,,,無,1,12000000,0,0
6,2,32.71,1121212,10,24,2,2,7,701223.0,110.65,2.0,有,1,4200000,0,2
6,3,11.15,1121207,21,17,1,7,5,1090131.0,129.1,2.0,有,0,14500000,5,1
2,2,10.5,1121220,13,27,3,7,7,880406.0,86.69,3.0,有,1,5250000,0,1
6,0,118.89,1121106,10,29,0,0,1,,,,無,1,15000000,0,0
15,2,77.8,1121201,10,23,4,7,7,921231.0,220.23,5.0,有,1,17150000,0,2
2,3,9.52,1130102,42,15,1,7,5,1120323.0,114.62,2.0,有,0,12000000,5,1
6,1,,1121223,32,24,3,4,7,800517.0,27.25,1.0,有,1,1300000,0,1
15,2,22.68,1121030,32,26,3,2,7,820701.0,119.67,3.0,有,0,5600000,0,1
15,2,116.93,1130106,10,23,4,7,5,950302.0,326.82,4.0,有,1,33660000,0,2
15,3,15.95,1121208,46,27,3,2,7,821215.0,120.99,3.0,有,0,6300000,5,1
2,2,103.11,1121022,10,12,4,2,4,480000.0,184.72,1.0,有,1,18000000,0,2
2,2,16.64,1121218,40,4,1,2,7,831108.0,120.42,3.0,有,0,7500000,0,1
6,2,159.58,1121229,10,23,4,1,7,751023.0,415.05,4.0,有,1,15800000,0,2
2,0,379.82,1121230,10,29,0,0,1,,,,無,1,24600000,0,0
15,2,11.34,1121128,35,27,3,2,7,820108.0,88.88,2.0,有,0,6100000,0,1
15,3,11.31,1121122,13,20,1,7,5,1051109.0,152.83,3.0,有,0,11500000,5,1
2,2,9.87,1121226,32,27,3,7,7,931203.0,56.92,2.0,有,0,5200000,0,1
2,2,6.7,1121228,10,25,3,2,7,790917.0,45.97,1.0,有,0,2350000,0,1
6,2,9.58,1121227,10,6,1,7,7,870420.0,74.11,1.0,有,0,4500000,0,1
6,3,47.2,1121207,32,24,3,2,7,821213.0,190.96,4.0,有,0,8150000,5,1
6,2,5.86,1121217,13,17,1,7,5,1041105.0,83.19,2.0,有,0,8100000,0,1
2,2,97.03,1121117,10,23,4,1,7,670516.0,222.49,5.0,有,1,23000000,0,2
2,2,91.62,1130105,10,22,4,2,7,730124.0,238.93,8.0,有,1,24500000,0,2
15,3,17.5,1100601,30,21,1,7,7,1121017.0,232.1,3.0,有,0,15500000,5,1
2,2,7.77,1121203,32,25,3,2,7,800119.0,44.03,1.0,有,0,2600000,0,1
6,3,58.5,1121125,35,2,3,7,5,1000310.0,186.12,3.0,有,0,15580000,5,1
15,2,45.0,1121106,10,29,4,0,1,,,6.0,有,1,5600000,0,0
15,3,23.3,1121210,32,7,1,7,5,1060307.0,143.95,2.0,有,0,13450000,5,1
2,2,46.24,1121229,10,29,4,0,1,,,2.0,有,1,5438000,0,0
15,3,9.37,1100319,35,21,1,7,7,1121017.0,122.23,,無,0,5400000,5,1
2,3,25.6,1121126,36,20,1,7,5,1091029.0,300.26,4.0,有,0,28000000,5,1
6,3,10.59,1121207,13,17,1,7,5,1041105.0,154.54,3.0,有,0,12000000,5,1
15,3,14.28,1121223,45,5,1,2,7,880113.0,140.29,3.0,有,0,9400000,5,1
2,2,0.23,1121207,20,3,1,2,7,851127.0,38.12,1.0,有,0,1700000,0,1
6,3,32.06,1121209,46,2,3,7,7,930329.0,144.03,3.0,有,0,8400000,5,1
2,2,92.0,1130110,10,23,4,1,7,781216.0,241.08,7.0,有,1,15000000,0,2
15,3,13.19,1061116,35,21,1,7,7,1121017.0,173.44,3.0,有,0,8050000,5,1
6,0,128.22,1121225,10,29,0,0,1,,,,無,1,2448785,0,0
15,2,13.55,1121221,10,6,1,7,7,880622.0,123.14,2.0,有,0,11800000,0,1
6,2,10.44,1121207,15,24,3,4,7,800830.0,50.35,1.0,有,1,3800000,0,1
2,2,15.96,1121223,31,24,2,2,7,710821.0,65.51,2.0,有,1,2800000,0,2
15,3,8.76,1121207,30,15,1,7,7,1121108.0,92.69,0.0,有,0,8450000,6,1
15,3,13.72,1121119,41,15,1,2,7,861021.0,201.55,4.0,有,0,12500000,5,1
15,3,8.92,1090615,41,15,1,7,7,1121108.0,94.0,0.0,有,0,5650000,6,1
15,3,8.92,1090615,43,15,1,7,7,1121108.0,94.0,0.0,有,0,5650000,6,1
15,3,10.66,1090707,43,15,1,7,7,1121108.0,112.02,0.0,有,0,6700000,5,1
2,2,3.11,1121208,33,14,1,2,7,870219.0,35.36,1.0,有,0,2850000,0,1
15,3,15.45,1121004,30,15,1,7,7,1121108.0,161.35,0.0,有,0,14380000,5,1
15,3,10.66,1090707,45,15,1,7,7,1121108.0,112.02,0.0,有,0,6900000,5,1
6,2,99.35,1121108,10,24,4,7,7,901129.0,291.5,6.0,有,1,24500000,0,2
2,2,18.52,1121229,10,29,4,0,1,,,4.0,有,1,970981,0,0
2,0,2.62,1121227,10,29,0,0,1,,,,無,1,118888,0,0
2,0,2.62,1121227,10,29,0,0,1,,,,無,1,118888,0,0
2,2,21.14,1121229,46,24,2,2,7,761017.0,76.15,3.0,有,1,3800000,0,2
15,3,11.7,1080722,30,21,1,7,7,1121017.0,152.98,3.0,有,0,8300000,5,1
