鄉鎮市區,交易標的,土地移轉總面積平方公尺,總樓層數,建物型態,建築完成年月,建物移轉總面積平方公尺,總價元,電梯
15,3,13.19,21,1,1121017.0,173.44,8780000,1
15,3,6.69,21,1,1121017.0,86.3,4400000,1
2,2,81.0,23,4,920515.0,218.53,18300000,0
2,2,4.97,26,3,790920.0,23.37,1200000,1
2,3,31.41,26,3,820428.0,162.14,9500000,1
15,2,84.0,23,4,820421.0,295.7,16800000,0
15,3,41.08,24,3,1110222.0,177.23,15500000,1
15,3,15.2,5,1,850919.0,2708.58,8320000,1
6,3,32.04,5,1,911227.0,142.38,9550000,1
15,2,86.05,24,4,950707.0,263.86,15000000,0
15,3,14.69,15,1,1101213.0,156.42,15400000,1
15,3,14.69,15,1,1101213.0,156.42,14800000,1
6,2,50.02,23,2,680319.0,94.29,5000000,0
15,2,75.0,22,4,810526.0,158.91,6000000,0
6,3,20.29,7,1,1120411.0,115.18,12800000,1
6,2,28.95,24,2,710224.0,86.57,8600000,0
15,2,12.95,6,1,950822.0,102.42,7650000,1
6,2,6.63,26,3,750722.0,40.15,1810000,1
6,2,106.33,12,4,880310.0,98.84,11150000,0
15,3,8.53,19,1,1060124.0,115.36,8250000,1
6,3,25.5,7,1,1120501.0,137.73,17750000,1
15,2,3.86,5,1,841024.0,44.31,3100000,1
2,2,37.54,26,3,741127.0,112.48,8350000,1
6,3,11.49,17,1,1041105.0,159.7,12000000,1
6,2,131.0,23,4,1050923.0,302.43,20000000,0
2,2,96.26,12,4,620420.0,143.1,12500000,0
15,3,29.09,2,3,850822.0,219.94,12500000,1
15,2,178.0,22,4,781207.0,342.41,23000000,0
6,3,36.32,2,3,930330.0,163.26,9800000,1
6,3,10.66,18,1,840104.0,131.68,6600000,1
15,2,1.8,5,1,831216.0,21.38,1580000,1
6,2,104.0,23,4,1111230.0,255.76,39800000,0
6,2,102.66,12,4,771020.0,135.76,6950000,0
2,3,17.83,26,3,811123.0,124.28,8000000,1
2,2,90.73,22,4,560710.0,136.56,16600000,0
2,3,13.0,11,1,1100727.0,149.89,13550000,1
6,2,79.25,23,4,1111117.0,190.47,25200000,0
2,2,5.61,25,3,830301.0,30.43,2500000,1
2,2,86.16,23,4,561120.0,300.48,19500000,0
2,2,23.3,25,3,720210.0,116.17,4950000,1
6,2,13.0,12,4,580200.0,24.79,710000,0
6,2,140.0,23,4,650210.0,415.05,17790000,0
2,2,128.51,23,4,1040818.0,324.13,39680000,0
15,3,17.5,6,1,880816.0,164.0,8100000,1
15,2,5.95,21,1,1121017.0,74.37,4630000,1
15,3,6.69,21,1,1121017.0,86.47,3950000,1
15,3,6.69,21,1,1121017.0,86.3,4120000,1
15,3,8.93,21,1,1121017.0,117.33,5600000,1
15,3,8.43,21,1,1121017.0,108.87,5150000,1
15,3,17.5,21,1,1121017.0,232.1,15180000,1
15,3,19.49,21,1,1121017.0,262.65,16880000,1
2,2,18.06,3,1,710831.0,899.0,10660000,1
6,2,78.84,22,4,830316.0,162.89,12100000,0
2,2,31.11,22,4,480000.0,79.54,9500000,0
2,2,4.88,26,3,810611.0,32.24,2000000,1
6,2,18.45,26,3,740416.0,103.08,4500000,1
6,3,10.66,18,1,840104.0,137.93,8100000,1
6,3,36.76,11,1,851202.0,346.89,26500000,1
15,2,7.37,20,1,1051109.0,86.31,6800000,1
6,2,82.92,12,4,770924.0,117.41,11000000,0
6,3,25.44,7,1,1120501.0,130.81,14680000,1
15,2,62.0,22,4,680815.0,146.49,8500000,0
15,2,21.32,6,1,890822.0,114.54,5660000,1
6,3,28.21,6,1,920916.0,149.3,10400000,1
2,2,16.69,24,2,760616.0,69.3,3100000,0
6,3,8.92,6,1,971219.0,88.58,8850000,1
6,2,53.95,23,4,930223.0,189.96,12320000,0
15,3,10.28,17,1,840530.0,174.13,12800000,1
2,3,32.99,26,3,811123.0,224.7,11000000,1
2,2,71.75,23,4,591223.0,207.12,13080000,0
6,3,27.52,27,3,831013.0,135.66,8000000,1
6,2,65.0,22,4,690604.0,133.42,10500000,0
15,3,22.66,25,3,810727.0,125.66,6150000,1
2,2,8.71,25,3,790404.0,58.73,4560000,1
6,3,32.32,6,1,920916.0,169.23,11500000,1
15,2,5.81,17,1,861022.0,116.93,6100000,1
6,2,23.76,24,2,701017.0,88.92,4100000,0
6,3,11.49,17,1,1041105.0,159.7,12000000,1
6,2,113.11,23,4,930507.0,209.83,12000000,0
6,2,64.46,22,4,620405.0,140.93,6000000,0
6,2,5.75,17,1,1041105.0,78.6,6800000,1
6,2,5.75,17,1,1041105.0,78.6,6800000,1
15,2,3.47,5,1,841024.0,40.09,2260000,1
2,2,123.04,12,4,720608.0,279.67,22000000,0
6,2,54.0,12,4,610718.0,69.51,5000000,0
6,2,13.69,6,1,870420.0,106.15,7250000,1
15,2,3.47,5,1,841024.0,39.86,2800000,1
15,2,14.81,9,1,850907.0,166.55,11500000,1
15,2,14.81,9,1,850907.0,166.55,11500000,1
15,2,108.0,23,4,1000512.0,282.59,24000000,0
15,2,74.0,24,4,830702.0,207.04,16000000,0
15,2,6.14,14,1,831222.0,68.96,4600000,1
15,3,12.03,19,1,1060124.0,156.74,9800000,1
2,2,5.82,25,3,790917.0,31.42,2000000,1
2,2,5.9,25,3,790917.0,32.04,1730000,1
2,2,54.42,24,4,720121.0,275.64,26800000,0
6,2,87.76,22,4,830418.0,177.9,10360000,0
6,3,20.63,6,1,951001.0,137.29,11650000,1
6,2,32.71,24,2,701223.0,110.65,4200000,0
6,3,11.15,17,1,1090131.0,129.1,14500000,1
2,2,10.5,27,3,880406.0,86.69,5250000,1
15,2,77.8,23,4,921231.0,220.23,17150000,0
2,3,9.52,15,1,1120323.0,114.62,12000000,1
15,2,22.68,26,3,820701.0,119.67,5600000,1
15,2,116.93,23,4,950302.0,326.82,33660000,0
15,3,15.95,27,3,821215.0,120.99,6300000,1
2,2,103.11,12,4,480000.0,184.72,18000000,0
2,2,16.64,4,1,831108.0,120.42,7500000,1
6,2,159.58,23,4,751023.0,415.05,15800000,0
15,2,11.34,27,3,820108.0,88.88,6100000,1
15,3,11.31,20,1,1051109.0,152.83,11500000,1
2,2,9.87,27,3,931203.0,56.92,5200000,1
2,2,6.7,25,3,790917.0,45.97,2350000,1
6,2,9.58,6,1,870420.0,74.11,4500000,1
6,3,47.2,24,3,821213.0,190.96,8150000,1
6,2,5.86,17,1,1041105.0,83.19,8100000,1
2,2,97.03,23,4,670516.0,222.49,23000000,0
2,2,91.62,22,4,730124.0,238.93,24500000,0
15,3,17.5,21,1,1121017.0,232.1,15500000,1
2,2,7.77,25,3,800119.0,44.03,2600000,1
6,3,58.5,2,3,1000310.0,186.12,15580000,1
15,3,23.3,7,1,1060307.0,143.95,13450000,1
15,3,9.37,21,1,1121017.0,122.23,5400000,1
2,3,25.6,20,1,1091029.0,300.26,28000000,1
6,3,10.59,17,1,1041105.0,154.54,12000000,1
15,3,14.28,5,1,880113.0,140.29,9400000,1
2,2,0.23,3,1,851127.0,38.12,1700000,1
6,3,32.06,2,3,930329.0,144.03,8400000,1
2,2,92.0,23,4,781216.0,241.08,15000000,0
15,3,13.19,21,1,1121017.0,173.44,8050000,1
15,2,13.55,6,1,880622.0,123.14,11800000,1
6,2,10.44,24,3,800830.0,50.35,3800000,1
2,2,15.96,24,2,710821.0,65.51,2800000,0
15,3,8.76,15,1,1121108.0,92.69,8450000,1
15,3,13.72,15,1,861021.0,201.55,12500000,1
15,3,8.92,15,1,1121108.0,94.0,5650000,1
15,3,8.92,15,1,1121108.0,94.0,5650000,1
15,3,10.66,15,1,1121108.0,112.02,6700000,1
2,2,3.11,14,1,870219.0,35.36,2850000,1
15,3,15.45,15,1,1121108.0,161.35,14380000,1
15,3,10.66,15,1,1121108.0,112.02,6900000,1
6,2,99.35,24,4,901129.0,291.5,24500000,0
2,2,21.14,24,2,761017.0,76.15,3800000,0
15,3,11.7,21,1,1121017.0,152.98,8300000,1
15,3,26.21,25,3,811222.0,135.24,9500000,1
15,3,6.69,21,1,1121017.0,86.3,4080000,1
6,3,11.49,17,1,1041105.0,159.7,11600000,1
15,3,6.69,21,1,1121017.0,86.3,4220000,1
6,2,24.45,24,2,720817.0,98.13,5680000,0
6,2,76.32,22,4,810613.0,235.57,14500000,0
6,2,66.0,12,4,620701.0,99.84,6650000,0
15,2,78.5,23,4,931011.0,177.23,17200000,0
6,2,86.0,22,4,681225.0,168.88,6000000,0
2,2,28.39,23,2,720303.0,62.39,4880000,0
6,3,34.0,7,1,1120501.0,166.95,22000000,1
2,2,7.56,3,1,950713.0,38.13,4000000,1
15,2,2.39,5,1,831216.0,29.05,1900000,1
15,3,8.76,15,1,1121108.0,92.72,8080000,1
15,3,8.92,15,1,1121108.0,94.0,5750000,1
15,3,8.68,15,1,1121108.0,91.88,5490000,1
6,2,82.19,22,4,820216.0,167.17,13380000,0
15,3,30.13,5,1,850919.0,304.18,20000000,1
6,3,32.64,6,1,1120411.0,171.63,17060000,1
15,2,7.39,19,1,870105.0,103.86,6300000,1
15,3,10.66,15,1,1121108.0,117.79,7950000,1
2,2,3.54,2,3,691203.0,28.69,1050000,1
15,3,19.72,6,1,1021225.0,161.6,10000000,1
15,3,14.29,5,1,870915.0,139.62,11200000,1
2,2,112.19,22,4,550000.0,102.97,8000000,0
6,3,18.29,15,1,1090109.0,265.38,21500000,1
15,3,15.33,15,1,1101213.0,162.99,15700000,1
15,3,13.19,21,1,1121017.0,173.44,9160000,1
15,3,6.69,21,1,1121017.0,86.52,4160000,1
15,3,11.66,15,1,1101213.0,124.58,11350000,1
15,3,11.7,21,1,1121017.0,152.98,7560000,1
2,3,25.5,20,1,1091029.0,274.0,23000000,1
15,3,15.72,21,1,1121017.0,200.69,13030000,1
6,3,25.84,27,3,831013.0,126.89,6680000,1
2,2,58.34,12,4,721125.0,85.92,14500000,0
15,2,29.79,26,3,840711.0,143.45,6000000,1
6,2,16.66,10,1,840912.0,114.71,8000000,1
15,3,9.67,21,1,1121017.0,127.33,5500000,1
15,3,13.47,6,1,950822.0,138.04,10000000,1
2,2,3.06,4,1,840104.0,31.96,2100000,1
6,2,55.02,12,4,641006.0,74.34,10880000,0
15,2,417.22,23,4,950516.0,463.9,42500000,0
6,2,142.63,23,4,821116.0,346.83,17000000,0
2,2,13.7,28,2,711207.0,113.27,6192000,0
2,2,9.13,28,3,740822.0,119.24,5550000,1
6,2,53.0,12,4,620103.0,82.87,7300000,0
6,2,11.88,5,1,1000908.0,63.8,7116800,1
15,3,14.69,15,1,1101213.0,156.42,15800000,1
6,2,120.08,12,4,751120.0,160.58,18500000,0
6,2,87.33,23,4,931230.0,197.7,17000000,0
6,2,78.0,12,4,621210.0,127.27,15800000,0
15,3,17.7,21,1,1121017.0,231.24,13700000,1
15,3,20.68,21,1,1121017.0,263.16,18000000,1
15,3,22.66,21,1,1121017.0,293.71,20520000,1
15,3,20.68,21,1,1121017.0,263.16,23500000,1
15,3,9.67,21,1,1121017.0,127.33,5160000,1
15,3,13.19,21,1,1121017.0,173.44,7960000,1
15,3,13.19,21,1,1121017.0,173.44,8490000,1
2,3,9.52,15,1,1120323.0,114.62,12500000,1
2,2,29.67,1,4,40101.0,28.2,4000000,0
6,3,29.46,2,3,930830.0,136.8,14500000,1
2,2,30.7,24,3,1110119.0,77.82,8180000,1
15,3,32.08,25,3,791228.0,174.23,9500000,1
15,2,197.0,23,4,931104.0,361.96,32500000,0
6,3,31.81,5,1,911227.0,140.86,8700000,1
15,3,37.59,17,1,1100413.0,276.26,41880000,1
6,3,21.87,18,1,1070411.0,271.25,27200000,1
15,3,15.91,25,3,840630.0,100.14,7000000,1
15,2,6.37,5,1,841024.0,73.74,4200000,1
15,3,12.03,19,1,1060124.0,156.74,12880000,1
2,2,73.42,12,4,590812.0,82.26,7500000,0
2,2,60.79,12,4,600710.0,77.63,6500000,0
2,3,23.76,26,3,791215.0,139.43,8100000,1
15,2,7.09,4,1,800531.0,70.66,4100000,1
15,3,11.97,19,1,1060124.0,156.78,10700000,1
15,3,24.2,25,3,820121.0,123.34,5750000,1
2,2,60.8,22,4,650426.0,126.65,11700000,0
6,2,28.64,4,1,800123.0,320.54,10000000,1
15,3,9.12,21,1,1121017.0,120.05,6550000,1
15,3,14.69,15,1,1101213.0,156.42,15800000,1
15,3,10.93,15,1,1101213.0,116.64,10560000,1
15,2,8.63,15,1,1101213.0,92.13,10300000,1
15,3,14.74,15,1,1101213.0,156.99,16100000,1
15,3,8.38,10,1,1100503.0,95.66,9000000,1
15,2,14.14,2,3,820701.0,122.2,2400000,1
15,3,11.48,2,3,820701.0,116.47,2400000,1
2,2,16.65,26,3,701219.0,86.95,5530000,1
2,3,29.76,24,2,751218.0,158.17,9380000,0
2,2,50.29,12,4,640213.0,85.51,5500000,0
15,3,6.69,21,1,1121017.0,86.47,4460000,1
15,2,76.47,24,4,950523.0,230.95,18500000,0
15,2,6.63,4,1,840311.0,98.67,7500000,1
15,3,18.48,27,3,821215.0,136.0,7500000,1
15,2,103.0,22,4,790612.0,217.22,16200000,0
15,2,17.72,6,1,1021125.0,121.21,9000000,1
15,3,6.81,6,1,960719.0,100.61,7600000,1
2,2,2.95,24,3,870706.0,32.77,3310000,1
2,2,2.95,24,3,870706.0,32.77,3310000,1
2,2,9.07,24,3,870706.0,32.72,3310000,1
2,2,9.07,24,3,870706.0,32.3,3300000,1
2,2,9.07,24,3,870706.0,32.3,3280000,1
2,2,9.07,24,3,870706.0,32.3,3280000,1
2,2,9.07,24,3,870706.0,32.94,3290000,1
2,2,9.34,24,3,870706.0,34.07,3370000,1
2,2,6.26,24,3,870706.0,33.44,3610000,1
2,2,2.95,24,3,870706.0,32.77,3370000,1
2,2,16.63,24,3,870706.0,65.88,6780000,1
2,2,9.95,24,3,870706.0,39.1,3890000,1
2,2,16.68,24,3,870706.0,67.61,6950000,1
2,2,4.44,24,3,870706.0,32.3,3340000,1
15,3,34.33,4,1,830914.0,249.82,12630000,1
2,2,2.95,24,3,870706.0,32.77,3350000,1
2,2,2.95,24,3,870706.0,32.88,3340000,1
2,2,9.95,24,3,870706.0,39.1,3890000,1
2,2,9.07,24,3,870706.0,32.72,3330000,1
2,2,9.07,24,3,870706.0,32.3,3300000,1
2,2,9.07,24,3,870706.0,32.3,3440000,1
2,2,4.44,24,3,870706.0,32.3,3440000,1
6,2,26.97,24,2,750912.0,126.14,4500000,0
6,2,84.42,12,4,740307.0,122.4,11000000,0
6,2,45.0,12,4,631106.0,73.8,3730000,0
15,3,16.87,25,3,830714.0,106.97,6200000,1
6,3,22.95,2,3,941213.0,95.47,8000000,1
6,2,152.19,12,4,701103.0,92.69,9700000,0
6,2,84.0,23,4,701228.0,180.16,11760000,0
15,3,8.53,19,1,1060124.0,115.36,7600000,1
15,3,12.3,19,1,1060124.0,159.93,10500000,1
15,3,51.67,18,1,1060323.0,569.15,67000000,1
2,2,13.44,3,1,950713.0,67.35,7800000,1
6,2,8.91,17,1,1041105.0,125.58,9700000,1
15,3,8.03,10,1,1100503.0,90.87,8100000,1
2,2,3.66,26,3,810421.0,23.99,1500000,1
15,3,26.63,27,3,830510.0,148.07,8500000,1
2,3,30.81,17,1,1051104.0,368.02,34000000,1
6,2,200.0,12,4,601229.0,238.78,23500000,0
15,3,8.86,16,1,1081217.0,103.63,10000000,1
2,2,2.86,4,1,850725.0,28.65,2000000,1
2,3,26.42,18,1,1060817.0,275.75,23000000,1
6,2,74.7,23,4,871012.0,207.14,7000000,0
2,2,2.55,5,1,850821.0,29.71,2200000,1
6,2,76.0,12,4,600430.0,88.84,6860000,0
6,2,81.02,12,4,720404.0,112.47,6280000,0
6,2,21.18,24,2,740311.0,79.88,4160000,0
15,3,29.93,25,3,820107.0,163.81,12200000,1
15,3,12.03,19,1,1060124.0,156.72,10180000,1
6,2,45.0,1,4,480000.0,34.6,2800000,0
6,3,19.65,6,1,1060119.0,153.35,11300000,1
15,2,5.55,15,1,861021.0,80.88,5700000,1
6,2,67.05,23,4,740520.0,255.63,16000000,0
6,2,36.75,12,4,581110.0,58.73,2640000,0
6,2,92.0,22,4,1110923.0,152.21,12600000,0
6,3,33.36,7,1,1120501.0,164.26,21300000,1
15,3,14.62,15,1,1121108.0,153.09,11160000,1
15,3,9.91,15,1,1121108.0,104.61,6450000,1
15,3,8.92,15,1,1121108.0,93.74,6680000,1
15,3,7.71,19,1,870105.0,129.97,7550000,1
15,3,16.29,28,3,830330.0,120.48,7700000,1
15,3,15.72,21,1,1121017.0,200.69,12450000,1
15,3,9.87,21,1,1121017.0,130.05,5480000,1
15,3,9.87,21,1,1121017.0,130.05,5620000,1
15,3,8.13,21,1,1121017.0,103.78,5530000,1
15,3,6.69,21,1,1121017.0,86.47,4230000,1
15,3,6.69,21,1,1121017.0,86.47,4460000,1
15,3,6.84,21,1,1121017.0,88.4,4280000,1
15,3,8.13,21,1,1121017.0,103.78,6000000,1
15,3,8.13,21,1,1121017.0,103.78,5900000,1
15,3,9.67,21,1,1121017.0,127.33,5300000,1
15,3,9.67,21,1,1121017.0,127.33,5330000,1
15,3,13.19,21,1,1121017.0,173.44,8800000,1
6,3,31.38,3,1,930521.0,143.19,9200000,1
15,3,13.19,21,1,1121017.0,173.44,8430000,1
6,2,6.39,4,1,711012.0,63.54,5398000,1
15,3,15.33,15,1,1101213.0,162.99,14700000,1
6,2,40.35,24,2,731212.0,132.03,4100000,0
6,2,5.07,10,1,840912.0,33.82,2500000,1
2,2,7.98,26,3,661202.0,37.45,2400000,1
2,2,106.1,23,4,940120.0,274.82,18200000,0
15,3,17.15,14,1,960815.0,236.76,19000000,1
15,2,9.81,13,1,871121.0,120.36,7000000,1
15,3,16.29,15,1,1101213.0,173.53,15880000,1
6,2,5.23,24,3,791201.0,26.84,1580000,1
2,2,62.03,12,4,790328.0,57.36,10700000,0
15,3,8.68,15,1,1121108.0,91.86,6450000,1
15,3,8.92,15,1,1121108.0,94.0,5750000,1
15,3,12.97,15,1,1121108.0,135.62,10150000,1
15,3,8.92,15,1,1121108.0,93.95,5750000,1
15,3,8.68,15,1,1121108.0,91.88,5490000,1
15,3,8.92,15,1,1121108.0,94.0,5750000,1
15,3,14.62,15,1,1121108.0,153.09,11600000,1
6,3,100.67,23,4,790421.0,226.21,16000000,0
6,3,11.15,17,1,1041105.0,156.01,12000000,1
6,2,79.5,22,4,821228.0,249.48,15560000,0
15,2,97.52,24,4,931230.0,239.39,21580000,0
2,2,56.24,12,4,610220.0,107.5,8600000,0
15,3,20.96,27,3,830510.0,116.9,6380000,1
15,2,4.34,5,1,841024.0,61.52,2880000,1
15,2,8.29,17,1,840530.0,115.35,8250000,1
2,2,65.2,12,4,650511.0,85.08,9000000,0
15,3,26.08,11,1,1040825.0,296.48,28150000,1
15,3,13.55,6,1,880622.0,139.5,10350000,1
15,3,15.28,20,1,1051109.0,204.71,14300000,1
2,2,5.61,25,3,830301.0,30.43,1950000,1
6,3,14.99,6,1,990406.0,112.36,10000000,1
2,3,20.52,13,1,1070531.0,189.54,17300000,1
15,2,133.6,24,4,960328.0,383.39,35600000,0
6,3,20.29,7,1,1120411.0,115.89,13300000,1
6,2,11.59,10,1,840912.0,78.7,5900000,1
15,3,6.69,21,1,1121017.0,86.3,3870000,1
15,3,8.68,15,1,1121108.0,91.59,7800000,1
15,3,9.91,15,1,1121108.0,104.61,6580000,1
15,3,10.66,15,1,1121108.0,112.02,7400000,1
15,3,10.66,15,1,1121108.0,112.02,6880000,1
15,3,9.91,15,1,1121108.0,104.61,6700000,1
15,3,10.66,15,1,1121108.0,112.02,8450000,1
15,2,19.99,6,1,890822.0,108.91,7500000,1
15,3,8.76,15,1,1121108.0,92.41,8280000,1
15,3,8.68,15,1,1121108.0,91.59,5630000,1
2,2,41.83,3,1,791229.0,411.87,9000000,1
15,3,33.56,3,1,1091204.0,203.9,18000000,1
6,2,40.96,3,1,911115.0,162.46,10650000,1
2,2,31.95,25,3,770129.0,149.85,9700000,1
2,2,3.78,26,3,800720.0,24.86,1700000,1
15,3,8.92,15,1,1121108.0,94.0,5750000,1
2,2,5.47,24,3,790115.0,25.67,1325000,1
6,2,98.31,24,4,960528.0,244.21,31800000,0
15,3,24.6,19,1,1060124.0,150.47,20000000,1
15,3,12.03,19,1,1060124.0,156.72,11000000,1
2,2,464.85,1,4,580926.0,355.66,51000000,0
6,3,36.42,27,3,851009.0,146.53,10500000,1
15,3,39.16,24,3,840426.0,157.02,3240000,1
6,2,70.0,12,4,670128.0,86.6,6000000,0
2,3,14.09,2,3,811215.0,157.67,7800000,1
2,2,23.69,26,3,701231.0,127.59,7060000,1
15,3,8.67,19,1,870105.0,143.96,8800000,1
6,2,92.45,22,4,830316.0,189.0,13990000,0
