鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,特殊交易備註,備註,電梯,停車位所在樓層,編號
歸仁區,房地(土地+建物),臺南市歸仁區民生十二街115巷2弄1號,97.08,,鄉村區,乙種建築用地,1130321,土地2建物1車位0,,004,透天厝,住家用,見其他登記事項,1110609,192.17,5,2,4,有,無,18500000,96269,,,,未登記建物,,無,,
仁德區,土地,虎山段03340007,1927.62,其他,,,1130123,土地1建物0車位0,,,,,,,,,,,無,無,40700000,21114,,,,,,,,
仁德區,房地(土地+建物),臺南市仁德區新田里新田路34巷12號,240.15,其他,,,1130312,土地1建物1車位0,,002,透天厝,住家用,鋼筋混凝土造,0811030,195.32,6,3,2,有,無,9000000,46078,,,,頂樓加蓋,,無,,
仁德區,土地,土庫段00940000,183.64,其他,,,1130220,土地2建物0車位0,,,,,,,,,,,無,無,3250000,17698,,,,,,,,
仁德區,土地,崁腳南段01930000,1827.57,其他,,,1130223,土地1建物0車位0,,,,,,,,,,,無,無,37593120,20570,,,,,,,,
仁德區,房地(土地+建物)+車位,臺南市仁德區太子北路236號三樓之2,42.64,其他,,,1110723,土地3建物1車位1,三層,005,華夏,見其他登記事項,鋼筋混凝土造,1130110,124.87,3,2,2,有,有,11230000,87562,一樓平面,13.75,1500000,(包含)公共設施保留地(用地)　預售屋、或土地及建物分次登記案件,民國113年03月06日簽立增補契約內容為：仁德區太子段433地號，以集合住宅分配土地持分依比例登記給各戶承買人，買賣總價不變。　土地買賣價款新台幣5380000元整、建物買賣價款新台幣4350000元整。,有,1,
關廟區,土地,北勢段07870000,141,其他,,,1130226,土地1建物0車位0,,,,,,,,,,,無,無,4691500,33273,,,,,,,,
仁德區,房地(土地+建物)+車位,臺南市仁德區太子北路236號三樓之5,42.62,其他,,,1120401,土地3建物1車位1,三層,005,華夏,見其他登記事項,鋼筋混凝土造,1130110,124.8,3,2,2,有,有,11000000,85543,一樓平面,13.75,1500000,(包含)公共設施保留地(用地)　預售屋、或土地及建物分次登記案件,民國113年03月06日簽立增補契約內容為：仁德區太子段433地號，以集合住宅分配土地持分依比例登記給各戶承買人，買賣總價不變。　土地買賣價款新台幣5110000元整、建物買賣價款新台幣4390000元整。,有,1,
歸仁區,房地(土地+建物),臺南市歸仁區民族一街29號,14.36,其他,,,1121217,土地1建物1車位0,,007,華夏,住家用,鋼筋混凝土造,0820518,62.64,2,1,1,有,有,3850000,61463,,,,其他增建,,有,,
仁德區,房地(土地+建物)+車位,臺南市仁德區太子北路236號四樓之2,42.64,其他,,,1110820,土地3建物1車位1,四層,005,華夏,見其他登記事項,鋼筋混凝土造,1130110,124.87,3,2,2,有,有,11300000,88192,一樓平面,13.75,1500000,(包含)公共設施保留地(用地)　預售屋、或土地及建物分次登記案件,民國113年03月06日簽立增補契約內容為：仁德區太子段433地號，以集合住宅分配土地持分依比例登記給各戶承買人，買賣總價不變。　土地買賣價款新台幣5450000元整、建物買賣價款新台幣4350000元整。,有,1,
